word,is_solution,first_entropy
aahed,0,4.362784
aalii,0,3.771990
aargh,0,4.238291
aarti,0,4.721153
abaca,0,3.160971
abaci,0,3.895456
aback,1,3.515873
abacs,0,3.928332
abaft,0,3.800745
abaka,0,2.789359
abamp,0,3.485663
aband,0,3.943909
abase,1,4.587312
abash,0,3.972211
abask,0,3.707898
abate,1,4.633526
abaya,0,2.974090
abbas,0,3.123291
abbed,0,3.969211
abbes,0,4.095039
abbey,1,3.932865
abbot,1,3.987979
abcee,0,4.476984
abeam,0,3.961354
abear,0,4.540323
abele,0,4.685496
abers,0,5.037189
abets,0,4.940763
abhor,1,4.599239
abide,1,4.893067
abies,0,5.019840
abled,1,4.877838
abler,0,5.181803
ables,0,5.003910
ablet,0,5.237782
ablow,0,4.188510
abmho,0,3.987095
abode,1,4.867913
abohm,0,4.105340
aboil,0,4.805425
aboma,0,3.682459
aboon,0,4.038996
abord,0,4.737102
abore,0,5.303919
abort,1,5.092981
about,1,4.684918
above,1,4.498452
abram,0,3.922115
abray,0,4.048659
abrim,0,4.533580
abrin,0,4.852273
abris,0,4.798874
absey,0,4.751822
absit,0,4.809231
abuna,0,3.807907
abune,0,4.915583
abuse,1,4.973006
abuts,0,4.538724
abuzz,0,2.728349
abyes,0,4.670345
abysm,0,4.117381
abyss,1,3.629913
acais,0,4.312396
acari,0,4.439996
accas,0,3.397244
accoy,0,3.907193
acerb,0,4.944777
acers,0,5.258278
aceta,0,4.541445
achar,0,4.204025
ached,0,4.717443
aches,0,4.833667
achoo,0,3.869268
acids,0,4.622489
acidy,0,4.496845
acing,0,4.547316
acini,0,4.095752
ackee,0,4.339749
acker,0,4.863546
acmes,0,4.839692
acmic,0,3.720981
acned,0,5.052045
acnes,0,5.160457
acock,0,3.727344
acold,0,4.858034
acorn,1,5.157105
acred,0,5.249500
acres,0,5.359026
acrid,1,4.914169
acros,0,5.033974
acted,0,5.105806
actin,0,4.963695
acton,0,4.965203
actor,1,5.215938
acute,1,5.237285
acyls,0,4.615348
adage,1,4.351315
adapt,1,4.130421
adaws,0,3.665126
adays,0,3.885591
adbot,0,4.587847
addax,0,2.536453
added,0,3.502644
adder,0,4.483820
